編號,標題,出處,維度,模組,大師金句,具體故事,善緣陪伴語,原文URL,來源Excel
11,p057　女人家暴,人間萬事,D2人際職場,M2關係修復,夫妻之間如果不能相互忍讓，相互尊重，相互敬愛，家庭就會烏煙瘴氣，影響所及，也會衍生出不少的社會問題。,星雲大師在〈女人家暴〉裡，打破了「家暴只是男人的錯」這個慣性認知。他細細描繪了日常生活的畫面：有人嘮叨不休，把多年前的舊帳一遍遍翻出來說；有人疑心重重，動不動就以哭鬧相逼；有人整天數落伴侶沒出息，說到對方一點自信都不剩；有人懶散治家，讓整個家冷冰冰毫無溫度。大師說，這些看似「只是說說」的行為，其實都是另一種形式的暴力，在無聲無息中傷害著身邊的人。他更指出，在這樣的家庭裡長大的孩子，身心往往失衡，日後還可能複製同樣的模式，傷害下一代。,有時候傷人最深的，不是拳頭，而是那些日復一日的嘮叨、懷疑或數落。親密關係裡，我們常常在不知不覺中就變成了讓對方喘不過氣的人。如果最近感覺家裡氣氛很悶，或許可以先停下來想想：我說話的方式，有沒有在不知不覺間把對方越推越遠？,https://books.masterhsingyun.org/ArticleDetail/artcle4839,人間萬事.xlsx
12,p255　自殺前後,人間萬事,D4終極關懷,M4生死智慧,一語點醒夢中人，豈不功德大矣！救人一命，勝造七級浮屠。,星雲大師在文中描述：一個走到絕境的人，心中的世界是灰暗的，眼中見不到一絲亮光。他就像一隻被繩索綑綁的猴子，最初拼命掙扎跳動，等跳累了、疲倦了，便趴著不動，放棄了對自由的渴望。大師說，那些即將走上絕路的人，往往會在水邊來回徘徊，或獨自站在樓頂望天嘆息——這時候，不管認識與否，若有人警覺地發現，伸手把他從邊緣拉回來，讓他重新感受到親人的呼喚、愛的溫度，一轉念之間，漫天烏雲或許就能撥雲見日。那一把及時的助力，往往比任何言語都更有力量。,當一個人覺得撐不下去，不是因為他不夠勇敢，而是那個當下太重、太黑了。這時候最需要的，不是大道理，而是一個人願意靠近、願意陪著。你身邊有這樣的朋友嗎？或者，你現在就是那個需要被靠近的人？不管哪一種，我都在這裡。,https://books.masterhsingyun.org/ArticleDetail/artcle5200,人間萬事.xlsx
13,p258　走不下去,人間萬事,D1心靈韌性,M1情緒支持,人生就如汽車，開了一定的里程後，必須加油，就能繼續上路。,星雲大師在文章中描繪了一幅很生活的畫面：有人走長路，累了就在路邊找個地方坐下來，喝杯茶、吃頓飯，歇一歇，再繼續走。他說人生就像開車，油耗盡了不是世界末日，加滿油就能再上路。他一一點出讓人覺得走不下去的原因——負債、失業、失戀、老病、困境——但每一條路的盡頭，他都留著一個出口：失業的人只要找出問題、調整步伐，就能重新出發；陷入困境的人，若平時多結善緣，危難時自有人伸出援手。大師不是要人假裝沒事，而是告訴我們：走不下去的時候，先停下來加油，不要自己把路封死。,感覺快撐不住的時候，不一定是真的走到盡頭了，有時候只是油耗盡、需要停下來補充一下。你現在卡住的地方，是哪一塊最讓你喘不過氣？我們可以一起看看，有沒有什麼地方可以先鬆動一點點。,https://books.masterhsingyun.org/ArticleDetail/artcle5201,人間萬事.xlsx
14,p128　自殺不能解決問題,如是說4,D4終極關懷,M4生死智慧,自殺是弱者，是對生命意義無知的表現，是對自己與家人殘忍、不負責任的行為。自殺不能解決問題，應勇敢面對人生，服務社會、發心奉獻，發揮生命的價值。,2002年10月，星雲大師帶領二十多位弟子，專程前往日本富士山腳下、西湖與紅葉台之間一片名為「青木原樹海」的森林——那裡因無數人選擇在此結束生命，而被世人稱為「自殺森林」。大師在密林之間為亡者誦經憑弔，靜靜地與那些曾在絕望中走進樹海的靈魂同在。誦經畢，大師語重心長地說：逃離，並不能讓痛苦消失；留下來，才有機會讓生命重新發光。,當一切都壓得喘不過氣，想消失的念頭會讓人以為那是唯一的出口。但其實那只是痛到極點時的錯覺。撐過去，不是因為你堅強，而是因為你的生命值得被好好對待。你願意跟我說說，現在最重的那塊是什麼嗎？,https://books.masterhsingyun.org/ArticleDetail/artcle17837,人間萬事.xlsx
15,p236　自殺也是殺生,如是說4,D1心靈韌性,M1情緒支持,忍一口氣，風平浪靜；退一步想，海闊天空。前進只是一半的世界，後退的世界會有不同的發現，在後退時，也能相信人生會有新的轉機。,2003年7月，星雲大師在澳洲南天寺對信眾開示。當時有人問到自殺的問題，大師沒有說教，而是先說起「忍」的力量。他說，人在走投無路時，往往只盯著前方那堵牆，卻忘了退一步，身後可能是海闊天空。大師進一步說，自殺不能解決問題，只是把痛苦轉嫁給愛你的人。他提醒大家：對自己的生命，我們有愛護的責任。這句話不是命令，而是一種深切的託付——你的生命，不只屬於你自己。,走不下去的時候，試試先退一步。不是認輸，是換個角度看。很多時候，讓自己喘口氣，反而會發現原來還有路。你願意撐過這一口氣，就可能看見不一樣的風景。,https://books.masterhsingyun.org/ArticleDetail/artcle17914,人間萬事.xlsx
16,p082　臨終一念要清楚,如是說7,D4終極關懷,M4生死智慧,人去世以後，會比有身體時更自由，因為身體是一個物質，會因時空隔礙而受到牽制。人只要平時作好預備，有自己的信仰、清楚自己的方向，對臨終往生都會有幫助。,2010年3月，星雲大師在傳燈樓客堂會見覺培法師的俗家親屬一行十四人，為他們開示生命的去處。大師說，人死後並不是消失，而是換了一種存在方式——沒有了身體的束縛，反而更加自由，可以穿越時空。他解釋，人死後會以「中陰身」的形態存在，帶著五種感知能力，等待隨業因或臨終那一念，決定下一個去處。大師特別叮嚀：臨終最後那一個念頭至關重要，平時若能建立穩定的信仰與清楚的人生方向，到了生命終點，那一念自然也會清明有力，不至於在慌亂中迷失。,面對死亡，我們最怕的其實是「不知道」。大師說，人離開這個世界後反而更自由，不再被身體的病痛和疲憊拖著走。重要的是，平時就想清楚自己相信什麼、在乎什麼——這份清醒，會在最後關頭成為你最穩的依靠。,https://books.masterhsingyun.org/ArticleDetail/artcle18645,人間萬事.xlsx
17,p028　面對死亡,人間萬事,D4終極關懷,M4生死智慧,死亡如移民，不必太計較。生命是「薪盡火傳」，木柴雖然燒盡了，只要換一根木柴，生命的火還會一直繼續燃燒。,星雲大師在文章裡提到哲學家蘇格拉底臨終的故事：有人在他生命最後時刻問他有什麼遺言，這位一生思索大問題的哲人，卻只輕輕說了一句——「我欠人一隻雞，還沒有付錢。」大師用這個故事提醒我們：一個人走到最後，最放不下的往往不是名利，而是那些還沒了結的虧欠。他還說，就像一粒稻穗收成後再播種，還會再生；生命的火，換一根木柴，也會繼續燃燒。死亡不是終點，而是另一段旅程的起點，像移民到另一個地方，不必太計較，更重要的是在還能動的時候，把欠人的一一還清，把想做的善事一一做好。,走到生命盡頭，人最放不下的往往不是錢財或事業，而是那些沒說出口的話、還沒還清的虧欠。趁現在還有時間，去做一件讓自己不留遺憾的事吧——哪怕只是一句道謝、一個道歉，都算數。,https://books.masterhsingyun.org/ArticleDetail/artcle5232,人間萬事.xlsx
18,p264　那是我的父親,星雲說喻2,D3生命關係,M1情緒支持,「他是我的爸爸，讓我親自來完成應盡的孝養吧！」,三十多年前，一位護專畢業的女性在佛光山出家後，因父親年邁患病、兄弟姊妹各有家室無暇照顧，她向星雲大師請求讓父親住進佛光精舍，由她親自就近照料。此後數十年，她每天為父親打理三餐飲食、整理房間、料理大小便溺，從不假手他人。有人深受感動，主動表示願意幫忙分擔，她卻溫柔而堅定地說：「他是我的爸爸，讓我親自來完成應盡的孝養吧！」這一句話，道盡了她三十年如一日的心意——不是義務，不是負擔，而是愛。,照顧年邁的父母，有時真的很累，但有些人就是放不下、捨不得讓別人代勞。不是因為逞強，而是那份陪伴本身，就是他們想親手給的愛。你現在扛著的，或許也是這樣一種捨不得。,https://books.masterhsingyun.org/ArticleDetail/artcle10440,人間萬事.xlsx
19,p255　婆媳包粽子,星雲說喻3,D2人際職場,M2關係修復,婆媳姑嫂之間，能夠換位思考，設身處地照顧到對方的感受，便能免去無謂的計較、爭執，多一分體諒、包容與和諧。,端午節前，婆婆喊媳婦一起包粽子，兩人從清早忙到下午，洗粽葉、切配料、炒內餡，費了好大一番功夫。粽子快熟時，媳婦聽見婆婆打電話叫女兒回來吃粽子，心裡頓時委屈：「原來我忙了一整天，是為你女兒包的？」她含淚打電話想向母親訴苦，沒想到電話鈴先響，母親興奮地說：「丫頭，我今早讓你嫂嫂包了好多粽子，你快回家，我叫她留一串給你帶走！」媳婦的女兒這才恍然：原來天下母親都是一樣的——心裡裝的，永遠是自己的孩子。她不禁希望，嫂嫂的媽媽也能趕快打電話，叫嫂嫂回家吃粽子。,有時候覺得自己付出了好多，卻好像沒被看見，那種委屈真的很難受。但換個角度想想，對方可能也有她放不下的人和牽掛。試著站到她那邊看一眼，有時候誤會就悄悄化開了。你願意理解別人，這本身就很了不起。,https://books.masterhsingyun.org/ArticleDetail/artcle10629,人間萬事.xlsx
20,p147　不怖於生死,星雲說偈5,D4終極關懷,M4生死智慧,智者能知罪性空，坦然不怖於生死。,有人問：人為什麼這麼怕死？星雲大師引《景德傳燈錄》這首偈來回答。他說，人的身體聚集了貪念、煩惱與欲望，所以感受到的世界充滿苦樂交雜、生滅無常。但有智慧的人看透了一件事：那些讓我們受苦的「罪業」，本身並沒有固定不變的自性，就像拳頭可以捶背服務人，也可以打人傷人，善惡苦樂都是由心所造。一旦明白「罪性本空，心若滅時罪亦亡」，就不再被過去的錯誤或對死亡的恐懼綁住。大師說，懂得這個道理的人，自然能坦然面對人生，勇於行善改過，心裡不再有畏懼。,有時候我們怕死，其實是怕自己做過的事、走過的路「沒辦法算清楚」。但你知道嗎？那些壓著你的重量，並不是永遠刻死在那裡的。心若能放下，很多事情真的會跟著鬆開。你現在最放不下的，是什麼呢？,https://books.masterhsingyun.org/ArticleDetail/artcle13873,人間萬事.xlsx
21,p297　孤獨,人間萬事,D1心靈韌性,M1情緒支持,高高山頂立；一個人希望自己成為「人上人」，希望能「高人一等」，這是可以達到的目標，只是要能經得起孤獨的生活熬鍊，才能高人一等。,達摩祖師在少室峰獨居，一住十九年，面壁靜思，幾乎與世隔絕。六祖惠能為了保全性命、潛心領悟，混在獵人群中隱姓埋名長達十幾年，每天與山林獵火為伴，過著旁人難以理解的孤寂生活。孔子有七十二賢人隨行，卻仍慨嘆胸懷無人能懂；耶穌身邊有十二門徒，最終卻被猶大出賣，在最孤立的時刻發出「上帝為何捨棄我」的呼喊。這些被後世尊崇的人，無一不曾在漫長的孤獨中默默撐持，才在歷史上留下不滅的光芒。,感覺孤獨、沒人懂你，其實很正常——那些後來活出精彩的人，幾乎都走過一段很長的「只有自己」的時光。孤獨不代表你被世界拋棄，有時候它只是在說：你正走在一條還沒多少人走過的路上。撐過去，你會更清楚自己是誰。,https://books.masterhsingyun.org/ArticleDetail/artcle5214,人間萬事.xlsx
22,p180　淡泊生死,星雲說偈6,D4終極關懷,M4生死智慧,自古艱難唯一死，但有修行的人，卻能生死自如，因為生死並不是一分為二，而是一啊！,龐蘊居士預知自己快走了，請女兒靈照到屋外看太陽到了沒。女兒來回看了幾次，都說還沒到正中。龐蘊親自出門確認，回來時，女兒竟已安靜離去。他笑著說：「這丫頭比我先走了！」沒多久，龐蘊自己也躺下走了。在田裡鋤地的兒子一聽父親走了，鋤頭都沒放下，也跟著去了。龐婆也不知所終。一家四口，就這樣各自灑脫地走完了自己的路，沒有驚慌，沒有恐懼，像赴一場早就約好的旅程。,害怕離開，是因為還沒想清楚「走」是什麼意思。龐蘊一家人的故事讓人動容——不是因為他們有什麼特異功能，而是他們活得很踏實，所以走得很從容。你現在擔心的那件事，也許不是終點，只是轉彎。,https://books.masterhsingyun.org/ArticleDetail/artcle14075,人間萬事.xlsx
23,p079　四等婆媳,人間萬事,D2人際職場,M2關係修復,婆婆把媳婦當成小友，媳婦把婆婆當成老友，老少之間像忘年之交。,星雲大師觀察到，婆媳衝突的根源，往往不是個性不合，而是兩個女人在爭奪同一個男人的位置——婆婆覺得兒子被搶走，媳婦覺得丈夫被干涉。大師因此提出「四等婆媳」的相處之道：能像母女最好，能像朋友次之，能像師生也好，退而求其次，就老老實實扮演好各自的角色。他特別強調「忘年之交」的朋友之道：婆婆找媳婦談心憶舊，媳婦向婆婆請示問道，彼此體貼對方的辛勞。大師也引述前編譯館館長趙麗雲的話：「婆媳之間要跳探戈。」兩個人各退一步、互相配合，才能跳出優美的步伐。,婆媳關係難，常常是因為兩個人都在「守自己的地盤」。其實換個角度想：她是你最愛的人的媽媽，你是他最愛的人——你們本來就站在同一邊。試著從「對手」變成「老友」，主動說說家常、聊聊辛苦，關係往往就慢慢鬆開了。,https://books.masterhsingyun.org/ArticleDetail/artcle4847,人間萬事.xlsx
24,p238　發心就不會有低潮,如是說2,D1心靈韌性,M1情緒支持,發心就不會有低潮。在人生重要的時刻：敢，非常重要；敢，就是大勇猛、大精進，為善不落人後。,1996年5月，星雲大師在美國洛杉磯西來寺主持一場徒眾講習會。面對來自世界各地的弟子，大師沒有講高深的理論，而是直接點出每個人心裡都曾有過的困境——低潮。他說，一個人之所以會陷入低潮，往往是因為失去了最初的那份心——那個「我要去做、我願意去做」的念頭。只要那顆心還在，人就有方向、有力氣。他還強調「敢」這個字：敢面對、敢承擔、敢往前走，這不是魯莽，而是一種深沉的勇氣。在那個會場裡，許多遠赴海外弘法、獨自撐著一間寺院的年輕僧侶，聽到這句話，都紅了眼眶。,你現在感覺到的低潮，很多時候不是能力不夠，而是那股「想做」的勁兒暫時熄了。大師說得好：只要心還在，就不會真的垮下去。先不管結果，問問自己——你最初為什麼想做這件事？那個答案，往往就是幫你重新站起來的力量。,https://books.masterhsingyun.org/ArticleDetail/artcle17127,人間萬事.xlsx
25,p185　婆媳關係,人間萬事,D2人際職場,M2關係修復,假如婆媳之間能多一些愛的包容，多用真心示好，一切自然風平浪靜，自能建立美好的三代同堂了。,有個夾在婆媳之間的男人，想出了一個妙計：他告訴媽媽，半年後要和太太離婚，請媽媽這段時間對媳婦好一點；又告訴太太，半年後要搬出去住，請太太趁現在好好孝順婆婆。半年過去，婆婆覺得媳婦賢慧孝順，媳婦覺得婆婆疼愛有加，兩人都捨不得分開。原本劍拔弩張的家，就這樣從內部悄悄融化了。星雲大師說，婆媳關係不是天注定，而是可以一點一滴促進的——只要有人願意先踏出那一步。,家裡的關係有時候卡住了，不是因為誰壞，而是誰都在等對方先好。其實只要有一個人願意先軟下來，先多說一句好話、多一個關心的眼神，整個氣氛就會慢慢不一樣。你不需要委屈自己，只是先試著把對方當成自己人看。,https://books.masterhsingyun.org/ArticleDetail/artcle4881,人間萬事.xlsx
26,p152　覆船生死,星雲禪話5,D1心靈韌性,M3意義重建,我們不要從表面上看禪師們的言語行為，在言語行為以外的禪，才是他們安身立命最重要的地方。,唐代學僧去參拜雪峰義存禪師，說自己從「覆船洪薦禪師」那裡來。雪峰故意打趣：「生死苦海還沒渡過，你為什麼先覆船？」學僧回去告訴覆船禪師，覆船叫他答：「因為已超越生死，當然就覆船！」學僧帶著這句話再去見雪峰，雪峰一聽，冷冷說：「這是你老師教你的話，不是你說的。」隨即表示覆船和自己各挨二十棒，而這一切與學僧無關——因為學僧還不夠資格被打。真正的領悟，不是借來的答案，是自己走過、撞過之後，從心裡長出來的東西。,有時候我們以為找到了答案，其實只是借了別人的話來撐場面。那個答案說得再漂亮，心裡也知道不踏實。真正屬於自己的，是那些你真的想過、真的跌過之後才懂的事——那才是你的，誰也拿不走。,https://books.masterhsingyun.org/ArticleDetail/artcle7156,人間萬事.xlsx
27,p213　家庭是生活的暖窩,佛光菜根譚,D3生命關係,M2關係修復,家庭是生活的暖窩，社會是共有的場所，國家是全民的故土，世界是觀光的樂園。,星雲大師一生離家數十載，從江蘇揚州的童年歲月，到輾轉來台弘法，長年居於寺院，看似遠離家庭。然而他深刻體悟，人不論走得多遠，心底始終有一個「暖窩」在等待——那是家的位置。他在佛光菜根譚中以簡短四句，勾勒出人從小到大的生命座標：家庭讓人安頓身心，社會讓人共同生活，國家讓人有所歸屬，世界讓人開闊眼界。一個人若能看清自己站在哪裡、屬於哪裡，便不會在人生的漂泊中失去重心。家，是最初也是最後的溫柔。,不管在外面遇到多少風浪，家永遠是你最安心的地方。就算現在和家人有些摩擦或距離，那個「想回去」的感覺，本身就是一種愛。你願意在乎，已經很不容易了。,https://books.masterhsingyun.org/ArticleDetail/artcle21413,人間萬事.xlsx
28,p120　失業怎麼辦？,人間萬事,D2人際職場,M3意義重建,只要不嫌工作低賤，肯得憑自己的勞力賺錢，何愁沒有工作的機會呢？,星雲大師曾提到，在歐美、日本，許多念博士、碩士的年輕人，一邊讀書一邊打工——有人在餐館端盤子，有人在百貨公司推車送貨，從不覺得丟臉。大師也觀察到，擺個地攤賣日用品、衣服、童玩的人，只要嘴上親切、態度和藹，有時賺的錢比領薪水的人還多。他鼓勵失業的朋友，先放下「這份工作配不配得上我」的念頭，從願意讓老闆試用一個月開始，踏出第一步。大師說，自己毛遂自薦、不挑剔、肯出力——這三件事，往往比學歷、人脈更能打開一扇新的門。,突然沒了工作，那種慌和悶真的很難受。但大師說得好：「不嫌工作低賤，肯憑自己的勞力賺錢，何愁沒有機會？」先不管這份工作夠不夠理想，讓自己動起來、撐過這一關，才是最重要的事。你願意踏出第一步嗎？,https://books.masterhsingyun.org/ArticleDetail/artcle4741,人間萬事.xlsx
